Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),RxBt(V),Curr(A),Capa(mAh),Bat(%),Alt(m),VSpd(m/s),Rud,Ele,Thr,Ail,P1,P2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2025-04-27,15:28:40.830,-21,-22,100,10,0,8,50,-27,100,10,8.4,0.0,0,0,0.7,0.0,-3,0,-840,-7,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1493,1474,1080,1498,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:41.330,-21,-22,100,10,0,8,50,-27,100,11,8.4,0.0,0,0,0.7,0.0,-3,-2,-840,-3,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1493,1474,1080,1498,2012,1485,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:41.830,-21,-22,100,11,0,8,50,-25,100,10,8.4,0.0,0,0,0.7,0.0,-3,0,-840,-5,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1493,1474,1080,1498,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:42.330,-20,-22,100,11,0,8,50,-26,100,11,8.4,0.0,0,0,0.7,0.0,-3,0,-715,-8,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1493,1478,1143,1498,2012,1486,1501,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:42.830,-20,-22,100,11,0,8,50,-24,100,11,8.4,0.0,0,0,0.7,0.0,1,3,-653,-9,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1493,1480,1174,1500,2012,1487,1501,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:43.330,-23,-22,100,10,0,8,50,-29,100,10,8.4,0.0,0,0,0.7,0.0,-1,10,-605,-70,-1024,249,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1501,1482,1198,1494,2012,1501,1507,1503,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:43.830,-23,-22,100,10,0,8,50,-34,100,10,8.4,0.0,0,0,0.7,0.0,-4,-1,-552,-7,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1493,1482,1224,1498,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:44.330,-29,-26,100,10,0,8,50,-35,100,10,8.4,0.0,0,0,0.8,0.1,-1,1,-455,-16,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1494,1484,1273,1499,2012,1488,1501,1501,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:44.830,-27,-26,100,10,0,8,50,-32,100,10,8.4,0.0,0,0,0.8,0.1,6,0,-348,-7,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1493,1487,1326,1502,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:45.330,-27,-26,100,10,0,8,50,-29,100,9,8.5,0.0,0,0,0.8,0.1,-1,0,-275,-8,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1493,1489,1363,1499,2012,1486,1501,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:45.830,-23,-26,100,10,0,8,50,-32,100,10,8.5,0.0,0,0,0.9,0.0,-4,0,-224,-6,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1493,1490,1388,1498,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:46.330,-23,-26,100,10,0,8,50,-29,100,10,8.5,0.0,0,0,0.9,0.0,34,-1,-224,-3,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1493,1490,1388,1516,2012,1485,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2025-04-27,15:28:46.830,-23,-26,100,10,0,8,50,-22,100,10,8.4,0.0,0,0,0.9,0.0,-1,-1,-120,-6,-1024,250,-1,0,1,-1,-1,1,-1,-1,0x000000000000000C,1493,1492,1440,1499,2012,1486,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
